Song_Id,track_name,artist(s)_name,artist_count,in_spotify_playlists,in_spotify_charts,streams,in_apple_playlists,in_apple_charts,in_deezer_playlists,in_deezer_charts,in_shazam_charts,bpm,key,mode,release_date,danceability_%,valence_%,energy_%,acousticness_%,instrumentalness_%,liveness_%,speechiness_%,log_streams,trending,trend_score
2095,TQM,Fuerza Regida,1,584,28,176553476.0,16,159,15,6,100.0,125,F,Minor,2023-05-19,79.0,96.0,85.0,27.0,0.0,11.0,10.101545253863135,18.98913437428238,False,0.01
2095,TQM,Fuerza Regida,1,584,28,176553476.0,16,159,15,6,100.0,125,F,Minor,2023-05-19,86.0,42.0,72.0,59.0,0.0,9.0,19.0,18.98913437428238,False,0.01
2074,El Azul,"Junior H, Peso Pluma",2,692,25,354495408.0,10,107,6,3,62.0,144,A,Minor,2023-02-10,56.0,84.0,65.0,23.0,0.0,10.0,6.0,19.6862059532179,False,0.01
2074,El Azul,"Junior H, Peso Pluma",2,692,25,354495408.0,10,107,6,3,62.0,144,A,Minor,2023-02-10,55.0,46.0,64.0,0.0,0.0,17.0,10.0,19.6862059532179,False,0.02
4829,Sunflower - Spider-Man: Into the Spider-Verse,"Post Malone, Swae Lee",2,24094,78,2808096550.0,372,117,843,4,69.0,90,D,Major,2018-10-09,76.0,91.0,50.0,54.0,0.0,7.0,5.0,21.75577270677811,True,0.99
3843,I'm Good (Blue),"Bebe Rexha, David Guetta",2,12482,80,1109433169.0,291,184,537,45,727.0,128,G,Minor,2022-08-26,56.0,38.0,97.0,4.0,0.0,35.0,4.0,20.82711506418297,True,0.92
3825,See You Again,"Tyler, The Creator, Kali Uchis",3,13387,64,1047101291.0,77,58,247,1,311.0,79,F#,Major,2017-07-21,56.0,58.0,56.0,37.0,0.0,11.0,10.0,20.76929150914099,True,0.71
4514,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65156199.0,82,145,65,16,1133.0,144,Unknown,Major,2023-06-23,77.0,75.0,58.0,52.0,0.0,23.0,25.0,17.992298022011063,False,0.03
4514,Barbie World (with Aqua) [From Barbie The Album],"Nicki Minaj, Aqua, Ice Spice",3,1117,80,65156199.0,82,145,65,16,1133.0,144,Unknown,Major,2023-06-23,92.0,31.0,89.0,3.0,0.0,8.0,25.0,17.992298022011063,False,0.04
4699,Angels Like You,Miley Cyrus,1,3372,19,570515054.0,65,48,138,1,102.0,122,F,Major,2020-11-27,67.0,49.0,64.0,10.0,0.0,10.0,3.0,20.16205011605056,False,0.08
3099,I Ain't Worried,OneRepublic,1,8431,76,1085685420.0,241,127,458,37,332.0,140,Unknown,Major,2022-05-13,71.0,82.0,81.0,11.0,0.0,6.0,5.0,20.80547734890892,True,0.84
2749,Die For You,The Weeknd,1,2483,59,1647990401.0,68,21,24,0,259.0,134,C#,Minor,2016-11-24,59.0,51.0,52.0,9.0,0.0,15.0,7.0,21.222822444387607,True,0.12
2707,Starboy,"The Weeknd, Daft Punk",2,29536,79,2565529693.0,281,137,2445,1,140.0,186,G,Major,2016-09-21,66.94701986754967,49.0,59.0,16.0,0.0,13.0,10.101545253863135,21.66543080263129,True,0.99
4830,Die For You - Remix,"Ariana Grande, The Weeknd",2,3408,47,518745108.0,87,86,74,1,16.0,67,C#,Minor,2023-02-24,53.0,50.0,53.0,23.0,0.0,44.0,7.0,20.066923201031,False,0.05
2955,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,1298,38,107753850.0,44,64,57,10,110.0,106,A#,Minor,2023-06-02,92.0,53.0,62.0,7.0,0.0,63.0,10.0,18.49536002644868,False,0.01
2955,El Cielo,"Feid, Myke Towers, Sky Rompiendo",3,1298,38,107753850.0,44,64,57,10,110.0,106,A#,Minor,2023-06-02,72.0,17.0,64.0,7.0,0.0,10.0,5.0,18.49536002644868,False,0.02
